strikePrice,expiryDate,underlying,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,instrumentType,timestamp
1620,28-Oct-2025,INFY,47,-6,-11.320754716981131,11,0.0,116.0,-3.0999999999999943,-2.602854743912674,28400,25200,400,112.95,400,115.5,1504.9,PE,27-Oct-2025 15:30:00
1620,28-Oct-2025,INFY,2011,-530,-20.85792994883904,1689,0.0,0.2,-0.35000000000000003,-63.63636363636363,110800,88400,4400,0.15,12800,0.2,1504.9,CE,27-Oct-2025 15:30:00
1620,25-Nov-2025,INFY,70,38,118.75,74,0.0,119.8,-4.200000000000003,-3.3870967741935507,36400,34400,400,119.9,400,122.5,1504.9,PE,27-Oct-2025 15:30:00
1620,25-Nov-2025,INFY,2008,235,13.254371122391428,1229,0.0,7.05,-0.7000000000000002,-9.032258064516132,133600,138000,1200,7.05,1600,7.2,1504.9,CE,27-Oct-2025 15:30:00
1640,28-Oct-2025,INFY,1735,-563,-24.499564838990427,1854,0.0,0.2,-0.2,-50.0,270800,70800,400,0.15,1600,0.2,1504.9,CE,27-Oct-2025 15:30:00
1640,28-Oct-2025,INFY,40,-6,-13.043478260869565,9,0.0,138.0,0.25,0.18148820326678766,40000,36400,400,132.9,400,135.7,1504.9,PE,27-Oct-2025 15:30:00
1640,25-Nov-2025,INFY,875,140,19.047619047619047,1203,0.0,5.15,-0.5999999999999996,-10.434782608695645,170000,108800,400,5.2,1600,5.25,1504.9,CE,27-Oct-2025 15:30:00
1640,25-Nov-2025,INFY,110,49,80.32786885245902,67,0.0,140.55,-0.44999999999998863,-0.3191489361702047,35600,38000,400,136.2,800,143.55,1504.9,PE,27-Oct-2025 15:30:00
1640,30-Dec-2025,INFY,49,4,8.88888888888889,29,19.54,14.35,1.3499999999999996,10.384615384615383,12000,4000,400,13.9,400,14.45,1504.9,CE,27-Oct-2025 15:30:00
1660,28-Oct-2025,INFY,22,-3,-12.0,4,0.0,157.0,-1.0,-0.6329113924050633,34400,36000,400,152.65,400,155.75,1504.9,PE,27-Oct-2025 15:30:00
1660,28-Oct-2025,INFY,1894,-291,-13.31807780320366,940,72.98,0.1,-0.15,-60.0,78400,59200,78400,0.05,5600,0.15,1504.9,CE,27-Oct-2025 15:30:00
1660,25-Nov-2025,INFY,567,101,21.673819742489272,583,23.12,3.9,-0.5000000000000004,-11.363636363636372,94800,130400,1200,3.9,4400,4.0,1504.9,CE,27-Oct-2025 15:30:00
1660,25-Nov-2025,INFY,42,4,10.526315789473685,11,0.0,157.0,-2.0,-1.257861635220126,32800,32400,400,156.4,400,160.25,1504.9,PE,27-Oct-2025 15:30:00
1680,28-Oct-2025,INFY,10,0,0.0,4,0.0,177.5,22.5,14.516129032258066,32000,36000,400,172.65,800,175.7,1504.9,PE,27-Oct-2025 15:30:00
1680,28-Oct-2025,INFY,486,-174,-26.363636363636363,374,75.3,0.05,-0.15000000000000002,-75.00000000000001,28000,56800,28000,0.05,8000,0.1,1504.9,CE,27-Oct-2025 15:30:00
1680,25-Nov-2025,INFY,976,312,46.98795180722892,878,23.61,2.85,-0.5499999999999998,-16.17647058823529,109600,104800,2000,2.85,400,2.95,1504.9,CE,27-Oct-2025 15:30:00
1680,25-Nov-2025,INFY,56,32,133.33333333333334,99,0.0,177.0,-0.8000000000000114,-0.4499437570303776,34800,35600,400,175.0,800,181.05,1504.9,PE,27-Oct-2025 15:30:00
1680,30-Dec-2025,INFY,42,2,5.0,4,19.6,8.4,-0.09999999999999964,-1.17647058823529,22800,7600,400,8.1,800,9.5,1504.9,CE,27-Oct-2025 15:30:00
1680,30-Dec-2025,INFY,0,0,0.0,0,0.0,0.0,0.0,0.0,400,0,400,115.0,0,0.0,1504.9,PE,27-Oct-2025 15:30:00
1700,28-Oct-2025,INFY,1356,-335,-19.81076286221171,796,0.0,0.05,-0.09999999999999999,-66.66666666666666,112800,126800,112800,0.05,64000,0.1,1504.9,CE,27-Oct-2025 15:30:00
1700,28-Oct-2025,INFY,129,-50,-27.932960893854748,152,0.0,194.5,-10.5,-5.121951219512195,35200,36800,2000,193.15,2400,196.3,1504.9,PE,27-Oct-2025 15:30:00
1720,28-Oct-2025,INFY,40,-19,-32.20338983050848,33,0.0,216.0,6.0,2.857142857142857,34000,40800,800,212.1,4400,225.6,1504.9,PE,27-Oct-2025 15:30:00
1720,28-Oct-2025,INFY,220,-20,-8.333333333333334,86,0.0,0.05,-0.05,-50.0,28800,52800,28800,0.05,6400,0.1,1504.9,CE,27-Oct-2025 15:30:00
1720,25-Nov-2025,INFY,402,115,40.069686411149824,150,0.0,214.0,-5.0,-2.28310502283105,32800,34800,400,211.85,800,215.95,1504.9,PE,27-Oct-2025 15:30:00
1720,25-Nov-2025,INFY,698,235,50.75593952483801,620,0.0,1.75,-0.3500000000000001,-16.66666666666667,107200,93600,2000,1.7,2000,1.8,1504.9,CE,27-Oct-2025 15:30:00
1760,28-Oct-2025,INFY,435,0,0.0,13,0.0,250.0,-7.0,-2.7237354085603114,34000,41600,400,252.45,2000,261.25,1504.9,PE,27-Oct-2025 15:30:00
1760,28-Oct-2025,INFY,461,-66,-12.523719165085389,121,0.0,0.05,-0.09999999999999999,-66.66666666666666,8800,168000,8800,0.05,13200,0.1,1504.9,CE,27-Oct-2025 15:30:00
1760,25-Nov-2025,INFY,1005,84,9.120521172638437,233,0.0,1.1,-0.2999999999999998,-21.428571428571416,84800,87200,1600,1.1,400,1.2,1504.9,CE,27-Oct-2025 15:30:00
1760,25-Nov-2025,INFY,373,106,39.70037453183521,156,0.0,253.0,-3.5,-1.364522417153996,32800,32000,400,252.5,400,256.1,1504.9,PE,27-Oct-2025 15:30:00
1760,30-Dec-2025,INFY,0,0,0.0,0,0.0,0.0,0.0,0.0,14400,2400,800,2.35,400,5.95,1504.9,CE,27-Oct-2025 15:30:00
1800,28-Oct-2025,INFY,84,-47,-35.87786259541985,76,0.0,296.6,-3.2999999999999545,-1.100366788929628,18000,38800,800,292.9,400,297.0,1504.9,PE,27-Oct-2025 15:30:00
1800,28-Oct-2025,INFY,248,-38,-13.286713286713287,149,0.0,0.05,-0.09999999999999999,-66.66666666666666,0,63600,0,0.0,6800,0.05,1504.9,CE,27-Oct-2025 15:30:00
